name,prefecture,area,type,avg_temp,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,website,map
吉滝キャンプ場・コテージ村,鳥取県,,,11.9,0.7,1.3,4.4,9.9,15.5,18.9,22.9,23.9,19.5,14.1,8.8,3.3,,"https://www.google.com/maps?q=35.4421556,134.5211956"
奥但馬・南部高原キャンプ場・コテージ村,鳥取県,,,11.9,0.7,1.3,4.4,9.9,15.5,18.9,22.9,23.9,19.5,14.1,8.8,3.3,,"https://www.google.com/maps?q=35.3977288,134.5207289"
アオゲラの森キャンプ場,山梨県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=35.5751276,139.0371842"
伊勢志摩エバーグレイズ,三重県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=34.3612761,136.8159947"
面河第一キャンプ場,愛媛県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=33.7262607,133.1032274"
小浜キャンプ場,高知県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=33.5395923,133.2360215"
利根別自然公園キャンプ場,北海道,,,7.9,-5.3,-4.6,-0.4,6.1,12.1,16.3,20.2,21.3,17.4,10.8,3.9,-2.6,,"https://www.google.com/maps?q=43.1826129,141.786802"
劔沢キャンプサイト,富山県,,フリー,11.8,0.3,0.4,3.6,9.9,15.4,19.2,23.2,24.3,20.1,14.2,8.5,3.1,,"https://www.google.com/maps?q=36.6035173,137.6165848"
カニ山キャンプ場,東京都,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=35.6623965,139.5578354"
白銀荘前キャンプ場,北海道,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=43.4313356,142.6424144"
ボーイスカウト日本連盟 山中野営場,山梨県,,,9.4,-2.4,-1.2,2.5,7.9,12.8,16.5,20.6,21.2,17.4,11.6,5.9,0.5,,"https://www.google.com/maps?q=35.400819,138.874838"
椿園キャンプ場,神奈川県,,,16.4,7.5,7.8,10.4,14.4,18.2,21.0,24.6,26.0,23.4,18.9,14.5,10.0,,"https://www.google.com/maps?q=34.7455357,139.3626584"
上大島キャンプ場,神奈川県,,フリー,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=35.5749159,139.3108432"
大倉高原山の家キャンプ場,神奈川県,,フリー,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=35.4163676,139.1616026"
滝沢園キャンプ場,神奈川県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=35.4073329,139.1681747"
おくとろ公園キャンプ場,和歌山県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=33.9377991,135.9507503"
